Title,Opening Date,Closing Date,Days Played,Company,Series,Category,Year,Season,Notes,Lost,Country,Genre
Network,1977-06-10,1977-06-16,7,Belcourt Twin,,Film,1977,,,,,
The Deep,1977-06-17,1977-07-28,42,Belcourt Twin,,Film,1977,,,,,
The Other Side of Midnight,1977-06-17,1977-08-18,63,Belcourt Twin,,Film,1977,,,,,
Jabberwocky,1977-07-29,1977-08-18,21,Belcourt Twin,,Film,1977,,,,,
Elvis on Tour,1977-08-19,1977-08-25,7,Belcourt Twin,,Film,1977,,,,,
For The Love of Benji,1977-08-19,1977-09-01,14,Belcourt Twin,,Film,1977,,,,,
Outlaw Blues,1977-08-26,1977-09-01,7,Belcourt Twin,,Film,1977,,,,,
Murder By Death,1977-09-02,1977-09-15,14,Belcourt Twin,,Film,1977,,,,,
I Never Promised You A Rose Garden,1977-09-02,1977-09-15,14,Belcourt Twin,,Film,1977,,,,,
Fraternity Row,1977-09-16,1977-09-29,14,Belcourt Twin,,Film,1977,,,,,
The Happy Hooker Goes To Washington,1977-09-16,1977-10-06,21,Belcourt Twin,,Film,1977,,,,,
La Grande Bourgeoise,1977-09-30,1977-10-27,28,Belcourt Twin,,Film,1977,,,,,
Fantastic Animation Show,1977-10-07,1977-10-19,13,Belcourt Twin,,Film,1977,,,,,
Oh God,1977-10-20,1977-12-22,64,Belcourt Twin,,Film,1977,,,,,
Cathy Tippel,1977-10-28,1977-11-03,7,Belcourt Twin,,Film,1977,,,,,
You Light Up My Life,1977-11-04,1977-11-17,14,Belcourt Twin,,Film,1977,,,,,
The Outlaw Josey Wales,1977-11-18,1977-11-24,7,Belcourt Twin,,Film,1977,,,,,
What Have They Done To Your Daughters?,1977-11-25,1977-12-08,14,Belcourt Twin,,Film,1977,,,,,
The Goodbye Girl,1977-12-02,1977-12-02,1,Belcourt Twin,,Film,1977,,,,,
The Sensual Man,1977-12-09,1977-12-15,7,Belcourt Twin,,Film,1977,,,,,
Saturday Night Fever,1977-12-16,1978-04-06,112,Belcourt Twin,,Film,1977,,,,,
The Choirboys,1977-12-23,1978-01-19,28,Belcourt Twin,,Film,1977,,,,,
"Oh, God",1978-01-20,1978-02-16,28,Belcourt Twin,,Film,1978,,,,,
Rabbit Test,1978-02-17,1978-03-23,35,Belcourt Twin,,Film,1978,,,,,
House Calls,1978-03-24,1978-04-20,28,Belcourt Twin,,Film,1978,,,,,
Fantasia,1978-04-07,1978-05-04,28,Belcourt Twin,,Film,1978,,,,,
The Great Smokey Roadblock,1978-04-21,1978-04-27,7,Belcourt Twin,,Film,1978,,,,,
Jokes My Folks Never Told Me,1978-04-28,1978-05-04,7,Belcourt Twin,,Film,1978,,,,,
Laserblast,1978-05-05,1978-05-11,7,Belcourt Twin,,Film,1978,,,,,
The Grateful Dead Movie,1978-05-05,1978-05-11,7,Belcourt Twin,,Film,1978,,,,,
The Greek Tycoon,1978-05-12,1978-06-15,35,Belcourt Twin,,Film,1978,,,,,
Deathsport,1978-05-12,1978-05-18,7,Belcourt Twin,,Film,1978,,,,,
The Goodbye Girl,1978-05-19,1978-05-25,7,Belcourt Twin,,Film,1978,,,,,
High-Ballin',1978-05-26,1978-06-01,7,Belcourt Twin,,Film,1978,,,,,
Corvette Summer,1978-06-02,1978-06-15,14,Belcourt Twin,,Film,1978,,,,,
Our Winning Season,1978-06-16,1978-06-22,7,Belcourt Twin,,Film,1978,,,,,
Thank God It's Friday,1978-06-16,1978-06-29,14,Belcourt Twin,,Film,1978,,,,,
Pretty Baby,1978-06-23,1978-07-13,21,Belcourt Twin,,Film,1978,,,,,
Secrets,1978-06-30,1978-07-20,21,Belcourt Twin,,Film,1978,,,,,
International Velvet,1978-07-14,1978-07-27,14,Belcourt Twin,,Film,1978,,,,,
Star Wars,1978-07-21,1978-08-03,14,Belcourt Twin,,Film,1978,,,,,
Convoy,1978-07-28,1978-08-10,14,Belcourt Twin,,Film,1978,,,,,
Animal House,1978-08-04,1978-12-21,140,Belcourt Twin,,Film,1978,,,,,
Heaven Can Wait,1978-08-11,1978-09-14,35,Belcourt Twin,,Film,1978,,,,,
Saturday Night Fever,1978-09-15,1978-09-28,14,Belcourt Twin,,Film,1978,,,,,
Up in Smoke,1978-09-29,1978-11-02,35,Belcourt Twin,,Film,1978,,,,,
Who Is Killing the Great Chefs of Europe,1978-11-03,1978-11-16,14,Belcourt Twin,,Film,1978,,,,,
The Wild Geese,1978-11-17,1978-12-07,21,Belcourt Twin,,Film,1978,,,,,
Almost Summer,1978-12-08,1978-12-14,7,Belcourt Twin,,Film,1978,,,,,
Superman,1978-12-15,1979-03-08,84,Belcourt Twin,,Film,1978,,,,,
King of the Gypsies,1978-12-22,1979-01-18,28,Belcourt Twin,,Film,1978,,,,,
Watership Down,1979-01-19,1979-02-08,21,Belcourt Twin,,Film,1979,,,,,
The Warriors,1979-02-09,1979-02-22,14,Belcourt Twin,,Film,1979,,,,,
The Psychic,1979-02-23,1979-03-01,7,Belcourt Twin,,Film,1979,,,,,
Saturday Night Fever,1979-03-02,1979-03-15,7,Belcourt Twin,,Film,1979,,,,,
Fast Break,1979-03-09,1979-04-12,35,Belcourt Twin,,Film,1979,,,,,
Agatha,1979-03-16,1979-03-22,7,Belcourt Twin,,Film,1979,,,,,
Star Crash,1979-03-23,1979-04-05,14,Belcourt Twin,,Film,1979,,,,,
Force Ten From Navarone,1979-04-06,1979-04-12,7,Belcourt Twin,,Film,1979,,,,,
Norma Rae,1979-04-13,1979-05-24,42,Belcourt Twin,,Film,1979,,,,,
California Dreaming,1979-04-13,1979-04-19,7,Belcourt Twin,,Film,1979,,,,,
Blazing Saddles,1979-04-20,1979-04-26,7,Belcourt Twin,,Film,1979,,,,,
Love at First Bite,1979-04-27,1979-05-17,21,Belcourt Twin,,Film,1979,,,,,
Hanover Street,1979-05-18,1979-06-07,21,Belcourt Twin,,Film,1979,,,,,
Some Like It H.O.T.S.,1979-05-25,1979-05-31,7,Belcourt Twin,,Film,1979,,,,,
The Prisoner of Zenda,1979-06-01,1979-06-14,14,Belcourt Twin,,Film,1979,,,,,
Players,1979-06-08,1979-06-28,21,Belcourt Twin,,Film,1979,,,,,
The Champ,1979-06-15,1979-06-21,7,Belcourt Twin,,Film,1979,,,,,
Lost and Found,1979-06-22,1979-07-05,14,Belcourt Twin,,Film,1979,,,,,
Nightwing,1979-06-29,1979-07-12,14,Belcourt Twin,,Film,1979,,,,,
Bloodline,1979-07-06,1979-07-26,21,Belcourt Twin,,Film,1979,,,,,
Meatballs,1979-07-13,1979-08-02,21,Belcourt Twin,,Film,1979,,,,,
The Amityville Horror,1979-07-27,1979-09-13,49,Belcourt Twin,,Film,1979,,,,,
The Villian,1979-08-03,1979-08-23,21,Belcourt Twin,,Film,1979,,,,,
Rust Never Sleeps,1979-08-24,1979-08-30,7,Belcourt Twin,,Film,1979,,,,,
Swim Team,1979-08-31,1979-09-06,7,Belcourt Twin,,Film,1979,,,,,
Young Frankenstein,1979-09-07,1979-09-20,14,Belcourt Twin,,Film,1979,,,,,
The Bermuda Triangle,1979-09-14,1979-09-27,14,Belcourt Twin,,Film,1979,,,,,
Racquet,1979-09-21,1979-09-27,7,Belcourt Twin,,Film,1979,,,,,
The Legacy,1979-09-28,1979-10-11,14,Belcourt Twin,,Film,1979,,,,,
Kentucky Fried Movie/ The Groove Tube,1979-09-28,1979-10-04,7,Belcourt Twin,,Film,1979,,,,,
"""10""",1979-10-05,1979-11-15,42,Belcourt Twin,,Film,1979,,,,,
A Touch of Class,1979-10-12,1979-10-18,7,Belcourt Twin,,Film,1979,,,,,
"Skatetown, USA",1979-10-19,1979-11-01,14,Belcourt Twin,,Film,1979,,,,,
When a Stranger Calls,1979-11-02,1979-11-08,7,Belcourt Twin,,Film,1979,,,,,
Zero to Sixty,1979-11-09,1979-11-15,7,Belcourt Twin,,Film,1979,,,,,
Animal House,1979-11-16,1979-12-13,28,Belcourt Twin,,Film,1979,,,,,
Yanks,1979-11-16,1979-11-29,14,Belcourt Twin,,Film,1979,,,,,
Richard Pyror Live Part 2,1979-11-30,1979-12-13,14,Belcourt Twin,,Film,1979,,,,,
1941,1979-12-14,1980-01-31,49,Belcourt Twin,,Film,1979,,,,,
The Jerk,1979-12-14,1980-02-07,56,Belcourt Twin,,Film,1979,,,,,
The Rose,1980-02-01,1980-02-14,14,Belcourt Twin,,Film,1980,,,,,
"""10""",1980-02-08,1980-02-21,14,Belcourt Twin,,Film,1980,,,,,
Jaws 2,1980-02-15,1980-02-28,14,Belcourt Twin,,Film,1980,,,,,
Chapter 2,1980-02-22,1980-04-10,49,Belcourt Twin,,Film,1980,,,,,
Doctor Zhivago,1980-02-29,1980-03-06,7,Belcourt Twin,,Film,1980,,,,,
2001: A Space Odyssey,1980-03-07,1980-03-20,14,Belcourt Twin,,Film,1980,,,,,
Gone With The Wind,1980-03-21,1980-03-27,7,Belcourt Twin,,Film,1980,,,,,
Tom Horn,1980-03-28,1980-04-17,21,Belcourt Twin,,Film,1980,,,,,
Married Men,1980-04-11,1980-04-17,7,Belcourt Twin,,Film,1980,,,,,
Gilda,1980-04-18,1980-04-24,7,Belcourt Twin,,Film,1980,,,,,
Grease,1980-04-18,1980-04-24,7,Belcourt Twin,,Film,1980,,,,,
Mad Max,1980-04-25,1980-05-08,14,Belcourt Twin,,Film,1980,,,,,
Love at First Bite,1980-04-25,1980-05-08,14,Belcourt Twin,,Film,1980,,,,,
La Cage Aux Folles,1980-05-02,1980-05-15,14,Belcourt Twin,,Film,1980,,,,,
Kill or Be Killed,1980-05-09,1980-05-22,14,Belcourt Twin,,Film,1980,,,,,
The Hollywood Knights,1980-05-16,1980-06-05,21,Belcourt Twin,,Film,1980,,,,,
Carny,1980-05-23,1980-05-29,7,Belcourt Twin,,Film,1980,,,,,
Friday the 13th,1980-05-30,1980-06-12,14,Belcourt Twin,,Film,1980,,,,,
Night Games,1980-06-06,1980-06-12,7,Belcourt Twin,,Film,1980,,,,,
Bronco Billy,1980-06-13,1980-07-17,35,Belcourt Twin,,Film,1980,,,,,
The Island,1980-06-13,1980-07-03,21,Belcourt Twin,,Film,1980,,,,,
Urban Cowboy,1980-07-04,1980-07-10,7,Belcourt Twin,,Film,1980,,,,,
How to Beat the High Cost of Living,1980-07-11,1980-07-24,14,Belcourt Twin,,Film,1980,,,,,
Richard Pryor Live in Concert,1980-07-18,1980-07-24,7,Belcourt Twin,,Film,1980,,,,,
Caddy Shack,1980-07-25,1980-08-21,28,Belcourt Twin,,Film,1980,,,,,
The Mountain Men,1980-07-25,1980-08-07,14,Belcourt Twin,,Film,1980,,,,,
Close Encounters of the Third Kind,1980-08-08,1980-08-21,14,Belcourt Twin,,Film,1980,,,,,
Used Cars,1980-08-22,1980-08-28,7,Belcourt Twin,,Film,1980,,,,,
The Fiendish Plot of Dr. Fu Manchu ,1980-08-22,1980-09-18,28,Belcourt Twin,,Film,1980,,,,,
The Blue Lagoon,1980-08-29,1980-09-11,14,Belcourt Twin,,Film,1980,,,,,
Can't Stop the Music,1980-09-12,1980-09-18,7,Belcourt Twin,,Film,1980,,,,,
Prom Night,1980-09-19,1980-10-02,14,Belcourt Twin,,Film,1980,,,,,
Soldier of Orange,1980-09-19,1980-09-25,7,Belcourt Twin,,Film,1980,,,,,
Resurrection,1980-09-26,1980-10-02,7,Belcourt Twin,,Film,1980,,,,,
Terror Train,1980-10-03,1980-10-23,21,Belcourt Twin,,Film,1980,,,,,
Coast to Coast,1980-10-03,1980-10-16,14,Belcourt Twin,,Film,1980,,,,,
The Tin Drum,1980-10-17,1980-10-30,14,Belcourt Twin,,Film,1980,,,,,
The First Deadly Sin,1980-10-24,1980-11-13,21,Belcourt Twin,,Film,1980,,,,,
When A Stranger Calls,1980-10-31,1980-11-13,14,Belcourt Twin,,Film,1980,,,,,
The Blues Brothers,1980-11-14,1980-11-20,7,Belcourt Twin,,Film,1980,,,,,
Fantasia,1980-11-14,1980-12-11,28,Belcourt Twin,,Film,1980,,,,,
Gloria,1980-11-21,1980-12-18,28,Belcourt Twin,,Film,1980,,,,,
Popeye,1980-12-12,1981-01-22,42,Belcourt Twin,,Film,1980,,,,,
A Change of Seasons,1980-12-19,1981-01-22,35,Belcourt Twin,,Film,1980,,,,,
Bad Timing A Sensual Obsession,1981-01-23,1981-01-29,7,Belcourt Twin,,Film,1981,,,,,
The Boogey Man,1981-01-23,1981-01-29,7,Belcourt Twin,,Film,1981,,,,,
Silver Streak,1981-01-30,1981-02-05,7,Belcourt Twin,,Film,1981,,,,,
Saturday Night Fever,1981-01-30,1981-02-05,7,Belcourt Twin,,Film,1981,,,,,
Galaxina,1981-02-06,1981-02-12,7,Belcourt Twin,,Film,1981,,,,,
Mothers Day,1981-02-06,1981-02-19,14,Belcourt Twin,,Film,1981,,,,,
Melvin (and Howard),1981-02-13,1981-02-19,7,Belcourt Twin,,Film,1981,,,,,
Ordinary People,1981-02-20,1981-03-05,14,Belcourt Twin,,Film,1981,,,,,
Airplane,1981-02-20,1981-02-26,7,Belcourt Twin,,Film,1981,,,,,
Cabaret,1981-02-27,1981-03-05,7,Belcourt Twin,,Film,1981,,,,,
Sphinx,1981-03-06,1981-03-12,7,Belcourt Twin,,Film,1981,,,,,
Resurrection,1981-03-06,1981-03-12,7,Belcourt Twin,,Film,1981,,,,,
American Pop (Preview Screening),1981-03-14,1981-03-14,1,Belcourt Twin,,Film,1981,,,,,
Beyond the Reef,1981-03-13,1981-03-19,7,Belcourt Twin,,Film,1981,,,,,
The Texas Chainsaw Massacre,1981-03-13,1981-03-19,7,Belcourt Twin,,Film,1981,,,,,
American Pop,1981-03-20,1981-04-02,14,Belcourt Twin,,Film,1981,,,,,
The Final Conflict,1981-03-20,1981-04-09,21,Belcourt Twin,,Film,1981,,,,,
Road Games,1981-04-03,1981-04-09,7,Belcourt Twin,,Film,1981,,,,,
Excalibur,1981-04-10,1981-05-28,49,Belcourt Twin,,Film,1981,,,,,
Star Wars,1981-04-10,1981-04-23,14,Belcourt Twin,,Film,1981,,,,,
La Cage Aux Folles II ,1981-04-24,1981-05-07,14,Belcourt Twin,,Film,1981,,,,,
Lion of the Desert,1981-05-08,1981-05-21,14,Belcourt Twin,,Film,1981,,,,,
Bustin Loose,1981-05-22,1981-06-25,35,Belcourt Twin,,Film,1981,,,,,
Kill and Kill Again,1981-05-29,1981-06-04,7,Belcourt Twin,,Film,1981,,,,,
Raiders of the Lost Ark (Preview Screening),1981-06-05,1981-06-05,1,Belcourt Twin,,Film,1981,,,,,
Caveman,1981-06-05,1981-06-11,7,Belcourt Twin,,Film,1981,,,,,
Raiders of the Lost Ark,1981-06-12,1981-09-24,105,Belcourt Twin,,Film,1981,,,,,
Stripes (Preview Screening),1981-06-12,1981-06-12,1,Belcourt Twin,,Film,1981,,,,,
Stripes,1981-06-26,1981-07-23,28,Belcourt Twin,,Film,1981,,,,,
Wolfen,1981-07-24,1981-08-06,14,Belcourt Twin,,Film,1981,,,,,
Under the Rainbow,1981-08-07,1981-08-13,7,Belcourt Twin,,Film,1981,,,,,
Heavy Metal,1981-08-14,1981-08-27,14,Belcourt Twin,,Film,1981,,,,,
The Blue Lagoon,1981-08-28,1981-09-03,7,Belcourt Twin,,Film,1981,,,,,
Hell Night,1981-09-04,1981-09-10,7,Belcourt Twin,,Film,1981,,,,,
Superman II,1981-09-11,1981-09-24,14,Belcourt Twin,,Film,1981,,,,,
Southern Comfort,1981-09-25,1981-10-08,14,Belcourt Twin,,Film,1981,,,,,
So Fine,1981-09-25,1981-10-15,21,Belcourt Twin,,Film,1981,,,,,
Tattoo,1981-10-09,1981-10-29,21,Belcourt Twin,,Film,1981,,,,,
The French Lieutenant's Woman,1981-10-16,1981-12-17,63,Belcourt Twin,,Film,1981,,,,,
Caligula,1981-10-30,1981-11-19,21,Belcourt Twin,,Film,1981,,,,,
Carbon Copy,1981-11-20,1981-12-10,21,Belcourt Twin,,Film,1981,,,,,
Just Before Dawn,1981-12-11,1981-12-17,7,Belcourt Twin,,Film,1981,,,,,
Pennies from Heaven,1981-12-18,1982-01-21,35,Belcourt Twin,,Film,1981,,,,,"Drama, Musical, Romance"
Absence of Malice,1981-12-18,1982-02-11,56,Belcourt Twin,,Film,1981,,,,,"Drama, Romance, Thriller"
Ragtime,1982-01-22,1982-02-04,14,Belcourt Twin,,Film,1982,,,,,Drama
Chariots of Fire,1982-02-05,1982-06-03,119,Belcourt Twin,,Film,1982,,,,,"Biography, Drama, Sport"
The French Lieutenant's Woman,1982-02-12,1982-03-04,21,Belcourt Twin,,Film,1982,,,,,"Drama, Romance"
Making Love,1982-03-05,1982-03-18,14,Belcourt Twin,,Film,1982,,,,,Drama
Porky's,1982-03-19,1982-04-29,42,Belcourt Twin,,Film,1982,,,,,Comedy
The Sword and the Sorcerer (Preview Screening),1982-04-23,1982-04-23,1,Belcourt Twin,,Film,1982,,,,,"Action, Adventure, Fantasy"
The Sword and the Sorcerer,1982-04-30,1982-05-27,28,Belcourt Twin,,Film,1982,,,,,"Action, Adventure, Fantasy"
Rocky III,1982-05-28,1982-07-22,56,Belcourt Twin,,Film,1982,,,,,"Drama, Sport"
Poltergeist,1982-06-04,1982-07-08,35,Belcourt Twin,,Film,1982,,,,,"Horror, Thriller"
Diner,1982-07-09,1982-08-19,42,Belcourt Twin,,Film,1982,,,,,"Comedy, Drama"
An Officer and a Gentleman (Preview Screening),1982-07-16,1982-07-16,1,Belcourt Twin,,Film,1982,,,,,"Drama, Romance"
The Best Little Whorehouse in Texas,1982-07-23,1982-09-09,49,Belcourt Twin,,Film,1982,,,,,"Comedy, Musical"
Young Doctors in Love,1982-08-20,1982-09-16,28,Belcourt Twin,,Film,1982,,,,,Comedy
The Long Good Friday,1982-09-10,1982-09-23,14,Belcourt Twin,,Film,1982,,,,,"Crime, Drama, Mystery"
Pink Floyd The Wall,1982-09-17,1982-10-21,35,Belcourt Twin,,Film,1982,,,,,"Drama, Fantasy, Music"
Star Trek Wrath of Khan,1982-09-24,1982-09-30,7,Belcourt Twin,,Film,1982,,,,,"Action, Adventure, Sci-fi"
On Golden Pond,1982-10-01,1982-10-07,7,Belcourt Twin,,Film,1982,,,,,Drama
My Favorite Year,1982-10-08,1982-11-18,42,Belcourt Twin,,Film,1982,,,,,"Comedy, Drama"
Fantasia,1982-10-22,1982-11-18,28,Belcourt Twin,,Film,1982,,,,,"Animation, Family, Fantasy"
Gregory's Girl,1982-11-19,1982-12-16,28,Belcourt Twin,,Film,1982,,,,,"Comedy, Drama, Romance"
Empire Strikes Back,1982-11-19,1982-12-16,28,Belcourt Twin,,Film,1982,,,,,"Action, Adventure, Sci-fi"
Still of the Night (Preview Screening),1982-12-10,1982-12-10,1,Belcourt Twin,,Film,1982,,,,,"Crime, Drama, Mystery"
Still of the Night,1982-12-17,1983-01-27,42,Belcourt Twin,,Film,1982,,,,,"Crime, Drama, Mystery"
Six Weeks,1982-12-17,1983-01-20,35,Belcourt Twin,,Film,1982,,,,,Drama
The Dark Crystal,1983-01-21,1983-02-10,21,Belcourt Twin,,Film,1983,,,,,
Best Friends,1983-01-28,1983-02-03,7,Belcourt Twin,,Film,1983,,,,,
The Entity,1983-02-04,1983-02-17,14,Belcourt Twin,,Film,1983,,,,,
The Rolling Stones: Let's Spend the Night Together,1983-02-11,1983-02-17,7,Belcourt Twin,,Film,1983,,,,,
Lovesick,1983-02-18,1983-03-24,35,Belcourt Twin,,Film,1983,,,,,
The Year of Living Dangerously,1983-02-18,1983-03-24,35,Belcourt Twin,,Film,1983,,,,,
High Road to China (Preview Screening),1983-03-11,1983-03-11,1,Belcourt Twin,,Film,1983,,,,,
Max Dugan Returns,1983-03-25,1983-05-05,42,Belcourt Twin,,Film,1983,,,,,
Table for Five,1983-03-25,1983-03-31,7,Belcourt Twin,,Film,1983,,,,,
"Man, Woman and Child",1983-04-01,1983-04-14,14,Belcourt Twin,,Film,1983,,,,,
Flash Dance,1983-04-15,1983-06-02,49,Belcourt Twin,,Film,1983,,,,,
A Boy and His Dog,1983-05-06,1983-05-12,7,Belcourt Twin,,Film,1983,,,,,
Exposed,1983-05-13,1983-05-26,14,Belcourt Twin,,Film,1983,,,,,
Eating Raoul,1983-05-27,1983-06-09,14,Belcourt Twin,,Film,1983,,,,,
Trading Places (Preview Screening),1983-06-03,1983-06-03,1,Belcourt Twin,,Film,1983,,,,,
The Man With Two Brains,1983-06-03,1983-06-23,21,Belcourt Twin,,Film,1983,,,,,
Trading Places,1983-06-10,1983-09-29,112,Belcourt Twin,,Film,1983,,,,,
Twilight Zone,1983-06-24,1983-07-14,21,Belcourt Twin,,Film,1983,,,,,
Staying Alive,1983-07-15,1983-08-18,35,Belcourt Twin,,Film,1983,,,,,
Easy Money,1983-08-19,1983-09-15,28,Belcourt Twin,,Film,1983,,,,,
Spring Fever,1983-09-16,1983-09-22,7,Belcourt Twin,,Film,1983,,,,,
Zelig,1983-09-23,1983-11-03,42,Belcourt Twin,,Film,1983,,,,,
Beyond the Limit,1983-09-30,1983-10-20,21,Belcourt Twin,,Film,1983,,,,,
Underfire,1983-10-21,1983-11-10,21,Belcourt Twin,,Film,1983,,,,,
The Osterman Weekend,1983-11-04,1983-11-17,14,Belcourt Twin,,Film,1983,,,,,
Never Say Never Again,1983-11-11,1983-11-24,14,Belcourt Twin,,Film,1983,,,,,
A Night in Heaven,1983-11-18,1983-12-08,21,Belcourt Twin,,Film,1983,,,,,
Terms of Endearment,1983-11-25,1984-03-22,119,Belcourt Twin,,Film,1983,,,,,
The Ruling Class,1983-12-09,1983-12-15,7,Belcourt Twin,,Film,1983,,,,,
To Be or Not to Be,1983-12-16,1984-02-09,56,Belcourt Twin,,Film,1983,,,,,
Unfaithfully Yours,1984-02-10,1984-03-29,49,Belcourt Twin,,Film,1984,,,,,
The Big Chill,1984-03-23,1984-03-29,7,Belcourt Twin,,Film,1984,,,,,
Greystoke The Legend of Tarzan,1984-03-30,1984-05-10,42,Belcourt Twin,,Film,1984,,,,,
Romancing the Stone,1984-03-30,1984-06-07,70,Belcourt Twin,,Film,1984,,,,,
The Natural,1984-05-11,1984-06-21,42,Belcourt Twin,,Film,1984,,,,,
Gremlins,1984-06-08,1984-08-02,56,Belcourt Twin,,Film,1984,,,,,
The Pope of Greenwich Village,1984-06-22,1984-07-19,28,Belcourt Twin,,Film,1984,,,,,
Best Defense,1984-07-20,1984-08-09,21,Belcourt Twin,,Film,1984,,,,,
"Grandview, USA",1984-08-03,1984-08-16,14,Belcourt Twin,,Film,1984,,,,,
The Adventures of Buckaroo Banzai,1984-08-10,1984-08-30,21,Belcourt Twin,,Film,1984,,,,,
Dreamscape,1984-08-17,1984-08-23,7,Belcourt Twin,,Film,1984,,,,,
Ghostbusters,1984-08-24,1984-09-27,35,Belcourt Twin,,Film,1984,,,,,
Bolero,1984-08-31,1984-09-27,28,Belcourt Twin,,Film,1984,,,,,
Purple Rain,1984-09-28,1984-10-04,7,Belcourt Twin,,Film,1984,,,,,
Irreconcilable Differences,1984-09-28,1984-10-18,21,Belcourt Twin,,Film,1984,,,,,
Teachers,1984-10-05,1984-11-15,42,Belcourt Twin,,Film,1984,,,,,
The Little Drummer Girl,1984-10-19,1984-11-22,35,Belcourt Twin,,Film,1984,,,,,
Garbo Talks,1984-11-16,1984-11-29,14,Belcourt Twin,,Film,1984,,,,,
Falling in Love,1984-11-23,1985-01-10,49,Belcourt Twin,,Film,1984,,,,,
Give My Regards to Broad Street,1984-11-30,1984-12-06,7,Belcourt Twin,,Film,1984,,,,,
The Bostonians,1984-12-07,1984-12-13,7,Belcourt Twin,,Film,1984,,,,,
Runaway,1984-12-14,1984-12-20,7,Belcourt Twin,,Film,1984,,,,,
Johnny Dangerously,1984-12-21,1985-01-17,28,Belcourt Twin,,Film,1984,,,,,
PharLap,1985-01-11,1985-01-24,14,Belcourt Twin,,Film,1985,,,,,
That's Dancing,1985-01-18,1985-01-31,14,Belcourt Twin,,Film,1985,,,,,
The Gods Must Be Crazy,1985-01-25,1985-03-28,63,Belcourt Twin,,Film,1985,,,,,
The Killing Fields,1985-02-01,1985-04-25,84,Belcourt Twin,,Film,1985,,,,,
King David,1985-03-29,1985-04-18,21,Belcourt Twin,,Film,1985,,,,,
Ladyhawke (Preview Screening),2019-04-06,2019-04-06,1,Belcourt Twin,,Film,1985,,,,,
Lost in America,1985-04-19,1985-06-06,49,Belcourt Twin,,Film,1985,,,,,
"Paris, Texas",1985-04-26,1985-05-23,28,Belcourt Twin,,Film,1985,,,,,
Amadeus,1985-05-24,1985-06-20,28,Belcourt Twin,,Film,1985,,,,,
Witness,1985-06-07,1985-06-13,7,Belcourt Twin,,Film,1985,,,,,
Prizzi's Honor,1985-06-14,1985-07-11,28,Belcourt Twin,,Film,1985,,,,,
A View to Kill,1985-06-21,1985-07-04,14,Belcourt Twin,,Film,1985,,,,,
The Emerald Forest,1985-07-05,1985-07-18,14,Belcourt Twin,,Film,1985,,,,,
Silverado,1985-07-12,1985-08-15,35,Belcourt Twin,,Film,1985,,,,,
The Man with One Red Shoe,1985-07-19,1985-08-02,15,Belcourt Twin,,Film,1985,,,,,
The Gods Must Be Crazy,1985-08-02,1985-08-08,7,Belcourt Twin,,Film,1985,,,,,
Pee-Wee's Big Adventure,1985-08-09,1985-10-10,63,Belcourt Twin,,Film,1985,,,,,
Year of the Dragon,1985-08-16,1985-08-29,14,Belcourt Twin,,Film,1985,,,,,
Compromising Positions,1985-08-30,1985-09-26,28,Belcourt Twin,,Film,1985,,,,,
Secret Places,1985-09-27,1985-10-03,7,Belcourt Twin,,Film,1985,,,,,
St. Elmo's Fire,1985-10-04,1985-10-10,7,Belcourt Twin,,Film,1985,,,,,
Kiss of the Spider Woman,1985-10-11,1985-11-07,28,Belcourt Twin,,Film,1985,,,,,
After Hours,1985-10-11,1985-10-31,21,Belcourt Twin,,Film,1985,,,,,
To Live and Die in L.A.,1985-11-01,1985-12-05,35,Belcourt Twin,,Film,1985,,,,,
Bring on Night,1985-11-08,1985-11-21,14,Belcourt Twin,,Film,1985,,,,,
Plenty,1985-11-22,1985-12-19,28,Belcourt Twin,,Film,1985,,,,,
The Doctor and the Devils,1985-12-06,1985-12-12,7,Belcourt Twin,,Film,1985,,,,,
King Solomon's Mine,1985-12-13,1985-12-19,7,Belcourt Twin,,Film,1985,,,,,
Enemy Mine,1985-12-20,1986-01-23,35,Belcourt Twin,,Film,1985,,,,,
The Color Purple,1985-12-20,1986-05-01,133,Belcourt Twin,,Film,1985,,,,,
Jagged Edge,1986-01-24,1986-01-30,7,Belcourt Twin,,Film,1986,,,,,
Murphy's Romance,1986-01-31,1986-03-06,35,Belcourt Twin,,Film,1986,,,,,
Brazil,1986-03-07,1986-04-24,49,Belcourt Twin,,Film,1986,,,,,
Violets Are Blue,1986-04-25,1986-05-22,28,Belcourt Twin,,Film,1986,,,,,
La Cage Aux Folles 3,1986-05-02,1986-05-08,7,Belcourt Twin,,Film,1986,,,,,
Sweet Liberty (Preview Screening),1986-05-10,1986-05-10,1,Belcourt Twin,,Film,1986,,,,,
The Color Purple,1986-05-09,1986-05-15,7,Belcourt Twin,,Film,1986,,,,,
Sweet Liberty,1986-05-16,1986-06-19,35,Belcourt Twin,,Film,1986,,,,,
Cobra,1986-05-23,1986-07-03,42,Belcourt Twin,,Film,1986,,,,,
Legal Eagles,1986-06-20,1986-09-25,98,Belcourt Twin,,Film,1986,,,,,
Under the Cherry Moon,1986-07-04,1986-07-24,21,Belcourt Twin,,Film,1986,,,,,
Heartburn,1986-07-25,1986-09-04,42,Belcourt Twin,,Film,1986,,,,,
Dream Lover,1986-09-05,1986-09-11,7,Belcourt Twin,,Film,1986,,,,,
About Last Night,1986-09-12,1986-10-16,35,Belcourt Twin,,Film,1986,,,,,
