Year,Title,IMDb Title,IMDb Year,Rating,Genre,Director,Release Date,Country,IMDb URL,Poster URL
1925,Dr. Jack,Dr. Jack,1922,7.1,"Comedy, Romance","Fred C. Newmeyer, Sam Taylor",26 Nov 1922 (USA),United States,https://www.imdb.com/title/tt0013075/,"https://m.media-amazon.com/images/M/MV5BOTI3NzY3ODgtYzRlYy00YWE5LTlhZjEtMGQyZjg5MDIyNDJmXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,The White Shadows,White Shadows,1924,6.0,Drama,Graham Cutts,05 May 1924 (USA),United Kingdom,https://www.imdb.com/title/tt0015493/,"https://m.media-amazon.com/images/M/MV5BNTk2YTBjNDgtZDU1Ni00MjcwLTk1NjctN2VlZmVmOGQ2YzA0XkEyXkFqcGc@._V1_SY150_CR7,0,101,150_.jpg"
1925,Honor Among Men,Honor Among Men,1924,,"Drama, Romance",Denison Clift,08 Sep 1924 (USA),United States,https://www.imdb.com/title/tt0014998/,"https://m.media-amazon.com/images/M/MV5BMGJlMjQ1NzAtNWEzOS00MzIzLWExZWMtZTU2MWYyNDQ2ZGMzXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1925,The Dangerous Flirt,The Dangerous Flirt,1924,,"Drama, Romance",Tod Browning,19 Oct 1924 (USA),United States,https://www.imdb.com/title/tt0014824/,"https://m.media-amazon.com/images/M/MV5BOGJiNDQzNTktMjk1NS00OWMyLWE4OGEtMmVkYzlmMmJjNDY3XkEyXkFqcGc@._V1_SY150_CR47,0,101,150_.jpg"
1925,Lillies of the Street,,,,,,,,,
1925,The Spirit of the USA,The Spirit of the USA,1924,5.4,"Drama, War",Emory Johnson,18 May 1924 (USA),United States,https://www.imdb.com/title/tt0015357/,"https://m.media-amazon.com/images/M/MV5BMGU5ZDI0OTctYjUwYy00NWY4LTk0YjYtNzNhZGE0M2UyMGRlXkEyXkFqcGc@._V1_SY150_CR42,0,101,150_.jpg"
1925,"Strongheart in ""White Fang""",Error,Error,Error,Error,Error,Error,Error,Error,Error
1925,My Husband's Wives,My Husband's Wives,1924,,Drama,Maurice Elvey,16 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0015154/,"https://m.media-amazon.com/images/M/MV5BMTljYzk1OTctNmMxYS00NTIzLTgzN2UtNzEwNWE5MGM3ZWE2XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,Another Scandal,Another Scandal,1924,,Drama,Edward H. Griffith,22 Jun 1924 (USA),United States,https://www.imdb.com/title/tt0014678/,"https://m.media-amazon.com/images/M/MV5BZWYyYWJkNzgtNTFkOC00NTEyLTg4Y2YtMzM0MTI0NGIwNzE3XkEyXkFqcGc@._V1_SY150_CR4,0,101,150_.jpg"
1925,Her Own Free Will,Her Own Free Will,1924,,Drama,Paul Scardon,20 Jul 1924 (USA),United States,https://www.imdb.com/title/tt0014983/,"https://m.media-amazon.com/images/M/MV5BZmJhZTg2Y2ItZTdmMS00MDViLTgzNGEtNDY3N2M0ZjVlZDA3XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,On the Stroke of Three,On the Stroke of Three,1924,,Drama,F. Harmon Weight,30 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0015193/,"https://m.media-amazon.com/images/M/MV5BZjdlZWVlMzQtODE0NS00OGJlLWE2NWQtNWM4NjcxNWJhM2M1XkEyXkFqcGc@._V1_SY150_CR47,0,101,150_.jpg"
