Year,Title,IMDb Title,IMDb Year,Director,Cast,Country,Certification,Genre,Runtime,Poster URL,Plot Outline,IMDb URL
2007.0,Kilowatt Ours: A Plan to Reenergize America,,,,,,,,,,,
2007.0,The Lady Eve,The Lady Eve,1941,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette",United States,"Argentina:16, Canada:PG::(Ontario), Finland:S, Finland:K-16, France:Tous publics, Italy:T, Japan:G, Norway:16, South Korea:12, Spain:A::(ICAA), Sweden:15, United Kingdom:U, United States:Passed::(National Board of Review), United States:Approved, United States:TV-PG::(TV rating), West Germany:16::(nf)","Comedy, Romance",94,"https://m.media-amazon.com/images/M/MV5BMGVmYmZkNjgtNDA5Ny00YzFlLTk5MDctYjUyM2RjZWYxNTMwXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg","Returning from a year up the Amazon studying snakes, the rich but unsophisticated Charles Pike meets con artist Jean Harrington on a ship. They fall in love, but a misunderstanding causes them to split on bad terms. To get back at him, Jean disguises herself as an English lady, and comes back to tease and torment him.",https://www.imdb.com/title/tt0033804/
2007.0,The Business of Being Born,The Unbearable Lightness of Being,1988,Philip Kaufman,"Daniel Day-Lewis, Juliette Binoche, Lena Olin, Derek de Lint",United States,"Argentina:16, Australia:M, Brazil:18::(DVD rating), Canada:R::(British Columbia), Canada:13+::(Québec), Canada:PG::(Ontario), Finland:K-16, France:Tous publics, Germany:16, Hong Kong:III, Iceland:14, India:A, Italy:VM14, Japan:18::(self-applied), Mexico:S/C, Netherlands:6, New Zealand:RP16, Norway:15, Peru:14, Philippines:R-18::(self-applied), Portugal:M/16, Singapore:R21, South Africa:16, South Korea:Youth not allowed::(self-applied), Spain:13, Sweden:15, United Kingdom:18, United States:R, West Germany:16","Drama, Romance",171,"https://m.media-amazon.com/images/M/MV5BMzQyMTliMzMtNzliZi00MmMwLWExZGEtNzQ3MDc1NmY4M2I1XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg","Tomas is a doctor and a lady-killer in 1960s Czechoslovakia, an apolitical man who is struck with love for the bookish country girl Tereza; his more sophisticated sometime lover Sabina eventually accepts their relationship and the two women form an electric friendship. The three are caught up in the events of the Prague Spring (1968), until the Soviet tanks crush the non-violent rebels; their illusions are shattered and their lives change forever.",https://www.imdb.com/title/tt0096332/
2007.0,Meeting Resistance,Meeting Resistance,2007,"Molly Bingham, Steve Connors",,United States,United States:Not Rated,Documentary,84,"https://m.media-amazon.com/images/M/MV5BNWE1YWYwYzYtZjBlNy00ZGYyLTg4NWQtZjBjNWQzZTY0YTFjXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg","MEETING RESISTANCE is a verité-style non-fiction feature-length film set in the streets, alleyways and ubiquitous teashops of the Adamiyah neighborhood of Baghdad. It enters the physical and psychological heart of the ""Insurgency"" against the American-led occupation. Photojournalists/directors Steve Connors and Molly Bingham spent ten-months among the insurgents there to create this exclusive, unique, and at once horrifying, compelling and insightful film about their lives, motivation, and goals.",https://www.imdb.com/title/tt0823219/
2007.0,Lake of Fire,Lake of Fire,2006,Tony Kaye,"Bill Baird, Flip Benham, Dallas Blanchard, John Britton",United States,"Canada:14A::(DVD rating), Canada:G::(Quebec), United States:Unrated",Documentary,152,"https://m.media-amazon.com/images/M/MV5BZjRkZDE0YWYtZWJjMC00NTAzLWEwOTYtOGUyZWU4NjRkNjIyXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg",,https://www.imdb.com/title/tt0841119/
2007.0,5th Annual Black LGBT Film and Cultural Festival,,,,,,,,,,,
2007.0,The Rocky Horror Picture Show,The Rocky Horror Picture Show,1975,Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien","United Kingdom, United States","Argentina:X, Argentina:16, Australia:M, Brazil:14, Brazil:14, Brazil:18, Bulgaria:C, Canada:14A::(Alberta), Canada:R::(Nova Scotia), Canada:AA::(Ontario), Canada:G::(Quebec), Canada:PG::(Saskatchewan), Chile:14, Finland:K-14, France:Tous publics::(1970s), France:12, Germany:12, Hong Kong:II, Hong Kong:IIB, Iceland:12, India:UA, India:A::(1970s), Ireland:12A, Ireland:18::(video), Ireland:12A, Ireland:15::(video), Israel:15+::(self-applied), Italy:VM14, Japan:R, Japan:G::(Prime Video rating), Malaysia:U, Maldives:15+::(recommended rating), Mexico:C, Netherlands:16, New Zealand:M, New Zealand:R18, New Zealand:R13, New Zealand:R16, Nigeria:12, Norway:16, Norway:15::(TV rating), Norway:12::(recommended rating), Poland:b.o.::(self-applied), Portugal:M/12, Russia:16+, Saudi Arabia:PG12, Singapore:M18, Singapore:(Banned), Singapore:M18, Singapore:R(A), South Africa:13, South Africa:PG::(DVD), South Korea:18, Spain:18, Spain:16, Spain:13, Sweden:15, Taiwan:12+, Taiwan:15+, United Kingdom:12A, United Kingdom:18::(YouTube), United Kingdom:12A, United Kingdom:12A, United Kingdom:12::(theatrical rating), United Kingdom:15::(VHS), United Kingdom:AA, United States:TV-MA, United States:TV-14, United States:R, United Arab Emirates:Not Rated, West Germany:12","Comedy, Horror, Musical",100,"https://m.media-amazon.com/images/M/MV5BOTg2YzY5ZGYtNDk1My00N2Q2LWFhN2YtZWU5YTkzODIyZGRmXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg","On a wild and rain-swept late-November evening, somewhere at an empty stretch of road outside Ohio's merry Denton, blissfully-affianced, prudish, boringly-innocent young pair Brad Majors (Barry Bostwick) and Janet Weiss (Susan Sarandon) find themselves stranded on their way to visit an ex-tutor. Instead, the couple will inadvertently unearth the cross-dressing Dr. Frank-N-Furter's (Tim Curry's) spooky lair of inexhaustible oddities, just in time to partake in the out-of-this-world mad scientist's proud unveiling of his latest, delightfully extravagant, most daring creation: the ultimate male and the perfect sex symbol: the flaxen-haired Rocky Horror (Peter Hinwood). But, little by little, as the effervescent transgressive force gobbles up whole the unsuspecting visitors of the night, Brad and Janet slowly begin to embrace the potent fascinations of seduction, while an idolized Rocky roams free in the mansion. Who can interrupt man's union with the absolute pleasure?",https://www.imdb.com/title/tt0073629/
2007.0,Dead Alive,Dead Alive,1992,Peter Jackson,"Timothy Balme, Diana Peñalver, Elizabeth Moody, Ian Watkin",New Zealand,"Argentina:18, Australia:R, Austria:18, Brazil:18, Bulgaria:D, Canada:R, Canada:18A::(British Columbia), Canada:18+::(Québec), Canada:16+::(Québec), Chile:18, Colombia:18, Czechia:18, Denmark:15, Egypt:18+::(with warning), Finland:K-18, Finland:(Banned), Finland:K-18, Finland:K-18, France:16, Germany:BPjM Restricted, Germany:Not Rated, Germany:18, Germany:16, Germany:(Banned), Greece:K-16, Hong Kong:III, Hungary:18, Iceland:16, India:A, Ireland:18, Israel:18, Italy:VM14, Japan:R-15, Malaysia:(Banned), Maldives:18+R, Mexico:C, Netherlands:16, New Zealand:R16, Nigeria:18, Norway:18::(video premiere), Norway:15::(DVD rating), Philippines:R-18, Poland:16, Portugal:M/16, Russia:18+, Saudi Arabia:R18, Singapore:(Banned), Singapore:R21, Singapore:M18, Singapore:(Banned), South Africa:18, South Korea:(Banned), South Korea:18, Spain:18, Sweden:15, Taiwan:18+, Turkey:18+, United Kingdom:18, United States:TV-MA, United States:R, United States:Unrated::(video rating), Ukraine:18, United Arab Emirates:Not Rated, Vietnam:C18","Comedy, Fantasy, Horror, Thriller",104,"https://m.media-amazon.com/images/M/MV5BMzU0Y2FhNDAtYzNlOC00MTNhLWFjYTUtMWMwMTUxZjlmYjc0XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg","Wellington, New Zealand. Lionel Cosgrove, an oppressed bachelor still living with his despotic mother Vera, has finally found his soulmate: Paquita, a compassionate grocery store clerk. But fate plays cruel tricks on mortals. After a visit to the local zoo, a vicious Sumatran Rat-Monkey bites Vera, and Lionel's already messed-up world falls apart. Now that Vera's got the ""bite"", the volatile situation at home spins out of control as the virulent infection gradually turns the cruel matriarch into a puss-squirting, flesh-eating living dead. And as if having to deal with a new Vera weren't enough, an ugly secret haunts the family, and Lionel's basement becomes a magnet for stimulant-enhanced zombie misfits. Poor Lionel, whether you like it or not, you'll have to man up to clean up the mess and confront your decomposing mummy. However, has Lionel what it takes to save the day and get the girl?",https://www.imdb.com/title/tt0103873/
2007.0,Shudder,Shudder,2007,Ben Dixon,"Gunnar Hansen, Tricia Cast, Edwin Neal, Jim O'Rear",United States,,Horror,100,,,https://www.imdb.com/title/tt1233228/
2007.0,Buddha's Lost Children,Buddha's Lost Children,2006,Mark Verkerk,"Phra Khru Bah Neua Chai Kositto, Khun Ead, Pan Sean, Boontam","Netherlands, France",Australia:PG,Documentary,97,"https://m.media-amazon.com/images/M/MV5BMTMwNTE0OTQzNF5BMl5BanBnXkFtZTcwOTcwMjA0MQ@@._V1_SY150_CR2,0,101,150_.jpg","Buddha's Lost Children is a feature-length documentary film about a Thai Buddhist monk who - armed only with his faith and skills and master boxer skills - wages an inspirational battle to help orphaned children, fight drug abuse, and preserve a vanishing way of life.",https://www.imdb.com/title/tt0829118/
